Country,avg_income
Afghanistan,1746
Albania,12300
Algeria,13639
Andorra,48641
Angola,5555
Antigua and Barbuda,22201
Argentina,17611
Armenia,9277
Australia,44097
Austria,46231
Azerbaijan,15240
Bahamas,28395
Bahrain,40399
Bangladesh,4057
Barbados,15912
Belarus,17039
Belgium,43821
Belize,7136
Benin,2135
Bhutan,8609
Bolivia (Plurinational State of),6849
Bosnia and Herzegovina,12690
Botswana,15951
Brazil,14068
Brunei Darussalam,76389
Bulgaria,19646
Burkina Faso,1705
Burundi,660
Cabo Verde,6513
Cambodia,3597
Cameroon,3291
Canada,43602
Central African Republic,777
Chad,1716
Chile,21972
China,16127
Colombia,12896
Comoros,2426
Congo,5804
Congo (Democratic Republic of the),800
Costa Rica,14790
Croatia,23061
Cuba,7811
Cyprus,33100
Czechia,31597
C̫te d'Ivoire,3589
Denmark,48836
Djibouti,3601
Dominica,9245
Dominican Republic,15074
Ecuador,10141
Egypt,10744
El Salvador,6973
Equatorial Guinea,17796
Eritrea,1708
Estonia,30379
Eswatini (Kingdom of),9359
Ethiopia,1782
Fiji,9110
Finland,41779
France,40511
Gabon,15794
Gambia,1490
Georgia,9570
Germany,46946
Ghana,4099
Greece,24909
Grenada,12684
Guatemala,7378
Guinea,2211
Guinea-Bissau,1593
Guyana,7615
Haiti,1665
Honduras,4258
Hong Kong; China (SAR),60221
Hungary,27144
Iceland,47566
India,6829
Indonesia,11256
Iran,18166
Iraq,15365
Ireland,55660
Israel,33650
Italy,36141
Jamaica,7932
Japan,40799
Jordan,8268
Kazakhstan,22168
Kenya,3052
Kiribati,3917
Korea (Republic of),36757
Kuwait,71164
Kyrgyzstan,3317
Lao People's Democratic Republic,6317
Latvia,26301
Lebanon,11136
Lesotho,3244
Liberia,1040
Libya,11685
Liechtenstein,99732
Lithuania,29775
Luxembourg,65543
Madagascar,1404
Malawi,1159
Malaysia,27227
Maldives,12549
Mali,1965
Malta,34795
Marshall Islands,4633
Mauritania,3746
Mauritius,22724
Mexico,17628
Micronesia (Federated States of),3700
Moldova (Republic of),6833
Mongolia,10784
Montenegro,17511
Morocco,7480
Mozambique,1154
Myanmar,5764
Namibia,9683
Nauru,17313
Nepal,2748
Netherlands,50013
New Zealand,35108
Nicaragua,4790
Niger,912
Nigeria,5086
North Macedonia,12874
Norway,68059
Oman,37039
Pakistan,5190
Palau,16720
Palestine; State of,5314
Panama,20455
Papua New Guinea,3686
Paraguay,11720
Peru,12323
Philippines,9540
Poland,27626
Portugal,27935
Qatar,110489
Romania,23906
Russian Federation,25036
Rwanda,1959
Saint Kitts and Nevis,26770
Saint Lucia,11528
Saint Vincent and the Grenadines,11746
Samoa,5885
Sao Tome and Principe,3024
Saudi Arabia,49338
Senegal,3256
Serbia,15218
Seychelles,25077
Sierra Leone,1381
Singapore,83793
Slovakia,30672
Slovenia,32143
Solomon Islands,2027
South Africa,11756
South Sudan,1455
Spain,35041
Sri Lanka,11611
Sudan,3962
Suriname,11933
Sweden,47955
Switzerland,59375
Syrian Arab Republic,2725
Tajikistan,3482
Tanzania (United Republic of),2805
Thailand,16129
Timor-Leste,7527
Togo,1593
Tonga,5783
Trinidad and Tobago,28497
Tunisia,10677
Turkey,24905
Turkmenistan,16407
Tuvalu,5409
Uganda,1752
Ukraine,7994
United Arab Emirates,66912
United Kingdom,39507
United States,56140
Uruguay,19435
Uzbekistan,6462
Vanuatu,2808
Venezuela (Bolivarian Republic of),9070
Viet Nam,6220
Yemen,1433
Zambia,3582
Zimbabwe,2661
Very high human development,40112
High human development,14403
Medium human development,6240
Low human development,2581
Developing Countries,10476
Arab States,15721
East Asia and the Pacific,14611
Europe and Central Asia,15498
Latin America and the Caribbean,13857
South Asia,6794
Sub-Saharan Africa,3443
Least Developed Countries,2630
Small Island Developing States,15553
Organization for Economic Co-operation and Development,40615
World,15745
